2026-05-26T01:40:28.965+04:00  INFO 30892 --- [cinema-api] [main] com.cinema.api.CinemaApiApplication      : Starting CinemaApiApplication using Java 21.0.2 with PID 30892 (E:\PIAPSCUR\Cinema\build\classes\java\main started by User in E:\PIAPSCUR\Cinema)
2026-05-26T01:40:28.978+04:00  INFO 30892 --- [cinema-api] [main] com.cinema.api.CinemaApiApplication      : No active profile set, falling back to 1 default profile: "default"
2026-05-26T01:40:30.057+04:00  INFO 30892 --- [cinema-api] [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-05-26T01:40:30.182+04:00  INFO 30892 --- [cinema-api] [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 111 ms. Found 10 JPA repository interfaces.
2026-05-26T01:40:31.203+04:00  INFO 30892 --- [cinema-api] [main] o.s.boot.tomcat.TomcatWebServer          : Tomcat initialized with port 8080 (http)
2026-05-26T01:40:31.221+04:00  INFO 30892 --- [cinema-api] [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2026-05-26T01:40:31.223+04:00  INFO 30892 --- [cinema-api] [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/11.0.21]
2026-05-26T01:40:31.302+04:00  INFO 30892 --- [cinema-api] [main] b.w.c.s.WebApplicationContextInitializer : Root WebApplicationContext: initialization completed in 2239 ms
2026-05-26T01:40:31.553+04:00  INFO 30892 --- [cinema-api] [main] org.hibernate.orm.jpa                    : HHH008540: Processing PersistenceUnitInfo [name: default]
2026-05-26T01:40:31.637+04:00  INFO 30892 --- [cinema-api] [main] org.hibernate.orm.core                   : HHH000001: Hibernate ORM core version 7.2.12.Final
2026-05-26T01:40:32.384+04:00  INFO 30892 --- [cinema-api] [main] o.s.o.j.p.SpringPersistenceUnitInfo      : No LoadTimeWeaver setup: ignoring JPA class transformer
2026-05-26T01:40:32.430+04:00  INFO 30892 --- [cinema-api] [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2026-05-26T01:40:32.604+04:00  INFO 30892 --- [cinema-api] [main] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@391dfe7c
2026-05-26T01:40:32.619+04:00  INFO 30892 --- [cinema-api] [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2026-05-26T01:40:32.979+04:00  WARN 30892 --- [cinema-api] [main] org.hibernate.orm.deprecation            : HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-05-26T01:40:33.213+04:00  INFO 30892 --- [cinema-api] [main] org.hibernate.orm.connections.pooling    : HHH10001005: Database info:
	Database JDBC URL [jdbc:postgresql://localhost:5432/cinema_db]
	Database driver: PostgreSQL JDBC Driver
	Database dialect: PostgreSQLDialect
	Database version: 17.0
	Default catalog/schema: cinema_db/public
	Autocommit mode: undefined/unknown
	Isolation level: READ_COMMITTED [default READ_COMMITTED]
	JDBC fetch size: none
	Pool: DataSourceConnectionProvider
	Minimum pool size: undefined/unknown
	Maximum pool size: undefined/unknown
2026-05-26T01:40:34.971+04:00  INFO 30892 --- [cinema-api] [main] org.hibernate.orm.core                   : HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-05-26T01:40:35.362+04:00  INFO 30892 --- [cinema-api] [main] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-05-26T01:40:35.649+04:00  INFO 30892 --- [cinema-api] [main] o.s.d.j.r.query.QueryEnhancerFactories   : Hibernate is in classpath; If applicable, HQL parser will be used.
2026-05-26T01:40:36.366+04:00  INFO 30892 --- [cinema-api] [main] r$InitializeUserDetailsManagerConfigurer : Global AuthenticationManager configured with UserDetailsService bean with name userDetailsServiceImpl
2026-05-26T01:40:38.973+04:00  WARN 30892 --- [cinema-api] [main] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-05-26T01:40:40.693+04:00  INFO 30892 --- [cinema-api] [main] o.s.boot.tomcat.TomcatWebServer          : Tomcat started on port 8080 (http) with context path '/'
2026-05-26T01:40:40.709+04:00  INFO 30892 --- [cinema-api] [main] com.cinema.api.CinemaApiApplication      : Started CinemaApiApplication in 12.548 seconds (process running for 13.397)
2026-05-26T01:41:01.094+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-05-26T01:41:01.094+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2026-05-26T01:41:01.097+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 2 ms
2026-05-26T01:41:01.612+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-3] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:41:01 | ВЫЗОВ МЕТОДА | ProductService.getAll() | Аргументы: [Page request [number: 0, size 10, sort: UNSORTED]]
2026-05-26T01:41:01.683+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-3] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:41:01 | УСПЕШНОЕ ВЫПОЛНЕНИЕ | ProductService.getAll() | Результат: Page 1 of 2 containing com.cinema.api.dto.ProductRs instances
2026-05-26T01:41:01.780+04:00  WARN 30892 --- [cinema-api] [http-nio-8080-exec-3] ration$PageModule$WarningLoggingModifier : Serializing PageImpl instances as-is is not supported, meaning that there is no guarantee about the stability of the resulting JSON structure!
	For a stable JSON structure, please use Spring Data's PagedModel (globally via @EnableSpringDataWebSupport(pageSerializationMode = VIA_DTO))
	or Spring HATEOAS and Spring Data's PagedResourcesAssembler as documented in https://docs.spring.io/spring-data/commons/reference/repositories/core-extensions.html#core.web.pageables.

2026-05-26T01:41:01.843+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-4] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:41:01 | ВЫЗОВ МЕТОДА | ProductService.getAll() | Аргументы: [Page request [number: 0, size 10, sort: UNSORTED]]
2026-05-26T01:41:01.853+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-4] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:41:01 | УСПЕШНОЕ ВЫПОЛНЕНИЕ | ProductService.getAll() | Результат: Page 1 of 2 containing com.cinema.api.dto.ProductRs instances
2026-05-26T01:41:04.088+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-5] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:41:04 | ВЫЗОВ МЕТОДА | MerchandiseService.getAll() | Аргументы: [Page request [number: 0, size 10, sort: UNSORTED]]
2026-05-26T01:41:04.098+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-5] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:41:04 | УСПЕШНОЕ ВЫПОЛНЕНИЕ | MerchandiseService.getAll() | Результат: Page 1 of 1 containing com.cinema.api.dto.MerchandiseRs instances
2026-05-26T01:41:04.131+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-6] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:41:04 | ВЫЗОВ МЕТОДА | MerchandiseService.getAll() | Аргументы: [Page request [number: 0, size 10, sort: UNSORTED]]
2026-05-26T01:41:04.139+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-6] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:41:04 | УСПЕШНОЕ ВЫПОЛНЕНИЕ | MerchandiseService.getAll() | Результат: Page 1 of 1 containing com.cinema.api.dto.MerchandiseRs instances
2026-05-26T01:41:05.081+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-8] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:41:05 | ВЫЗОВ МЕТОДА | ProductService.getAll() | Аргументы: []
2026-05-26T01:41:05.083+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-7] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:41:05 | ВЫЗОВ МЕТОДА | ComboService.getAll() | Аргументы: [Page request [number: 0, size 10, sort: UNSORTED]]
2026-05-26T01:41:05.093+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-8] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:41:05 | УСПЕШНОЕ ВЫПОЛНЕНИЕ | ProductService.getAll() | Результат: [com.cinema.api.dto.ProductRs@51de0dbe, com.cinema.api.dto.ProductRs@3be8737c, com.cinema.api.dto.ProductRs@b3ab547, com.cinema.api.dto.ProductRs@6b6311e9, com.cinema.api.dto.ProductRs@4a7142c6, com.cinema.api.dto.ProductRs@327aab67, com.cinema.api.dto.ProductRs@6cb4b0e2, com.cinema.api.dto.ProductRs@1fab08c4, com.cinema.api.dto.ProductRs@5f0c0e85, com.cinema.api.dto.ProductRs@38cab790, com.cinema.api.dto.ProductRs@713033cb, com.cinema.api.dto.ProductRs@361af801, com.cinema.api.dto.ProductRs@95db061]
2026-05-26T01:41:05.121+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-9] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:41:05 | ВЫЗОВ МЕТОДА | ProductService.getAll() | Аргументы: []
2026-05-26T01:41:05.131+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-9] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:41:05 | УСПЕШНОЕ ВЫПОЛНЕНИЕ | ProductService.getAll() | Результат: [com.cinema.api.dto.ProductRs@389046c9, com.cinema.api.dto.ProductRs@5f86fae5, com.cinema.api.dto.ProductRs@692130d0, com.cinema.api.dto.ProductRs@6023e8f1, com.cinema.api.dto.ProductRs@5a3f5c32, com.cinema.api.dto.ProductRs@3286d442, com.cinema.api.dto.ProductRs@52c1d572, com.cinema.api.dto.ProductRs@2d5adbbb, com.cinema.api.dto.ProductRs@d24dcee, com.cinema.api.dto.ProductRs@9843dcc, com.cinema.api.dto.ProductRs@55b203cb, com.cinema.api.dto.ProductRs@2e4e9dc5, com.cinema.api.dto.ProductRs@5a6e74e]
